AÑO,SEMESTRE,MUERTES,SEMESTRE_ANTERIOR,TASA_MUERTES,TASA_SEMESTRE_ANTERIOR,dif_porcentual
2016,1,65,0,2.11118747474695,0.0,inf
2016,2,81,65,2.6308643916077377,2.11118747474695,24.61538461538462
2017,1,69,81,2.2411067039621466,2.6308643916077377,-14.814814814814826
2017,2,71,69,2.306066318569745,2.2411067039621466,2.898550724637687
2018,1,70,71,2.273586511265946,2.306066318569745,-1.4084507042253547
2018,2,79,70,2.565904777000139,2.273586511265946,12.857142857142861
2019,1,57,79,1.851349016316556,2.565904777000139,-27.848101265822784
2019,2,46,57,1.4940711359747645,1.851349016316556,-19.29824561403509
2020,1,31,46,1.006874026417776,1.4940711359747645,-32.60869565217392
2020,2,50,31,1.6239903651899614,1.006874026417776,61.290322580645174
2021,1,55,50,1.7863894017089574,1.6239903651899614,9.999999999999993
2021,2,42,55,1.3641519067595675,1.7863894017089574,-23.636363636363633
